# Converted from ulughbeg.dat — Ulugh Beg (equinox 1437)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
112447;18.0000;341.2167;324;=Peg;"12=Peg";4;4.2;1;69.3
113186;14.2500;341.9167;325;=Peg;"13=Peg";5;4.9;1;70.8
112935;15.3500;340.9667;326;=Peg;"14=Peg";5;5.2;1;39.5
109427;15.8000;329.4167;327;=Peg;"15=Peg";3;3.5;1;43.4
109068;15.2500;328.2167;328;=Peg;"16=Peg";5;4.9;1;51.6
107315;22.0000;324.4667;329;=Peg;"17=Peg";3;2.4;1;24.0
109410;41.0000;341.5667;330;=Peg;"18=Peg";4;4.3;2;9.2
109176;34.1500;336.3167;331;=Peg;"19=Peg";4;3.8;1;14.5
107354;36.4500;331.5167;332;=Peg;"20=Peg";4;4.1;1;22.6
3092;24.0000;14.4667;333;=And;"1=And";3;3.3;1;33.3
2912;26.9000;15.7667;334;=And;"2=And";4;4.3;1;50.0
3031;22.4000;13.9167;335;=And;"3=And";4;4.3;1;55.7
1473;30.7500;13.3667;336;=And;"4=And";4;4.5;1;62.7
1366;32.5000;13.6167;337;=And;"5=And";4;4.6;2;52.3
1686;31.5000;14.6667;338;=And;"6=And";5;5.2;1;67.4
116631;41.0000;8.5667;339;=And;"7=And";4;4.3;1;12.4
116805;41.7000;9.5167;340;=And;"8=And";4;4.2;1;0.8
116584;43.4000;10.8667;341;=And;"9=And";4;3.8;1;29.1
3693;17.3000;13.4167;342;=And;"10=And";4;4.1;1;40.8
4463;15.6000;15.1667;343;=And;"11=And";5;4.4;1;39.6
5447;25.6000;23.2167;344;=And;"12=And";2;2.1;1;40.2
4436;29.5000;21.9667;345;=And;"13=And";4;3.9;1;33.8
3881;32.5000;21.0167;346;=And;"14=And";4;4.5;1;16.4
9640;27.6000;36.5167;347;=And;"15=And";3;2.1;1;11.5
8068;36.5000;36.9167;348;=And;"16=And";4;4.0;1;19.1
7607;35.0000;34.9167;349;=And;"17=And";4;3.6;1;26.9
7513;28.6500;31.1833;350;=And;"18=And";4;4.1;1;28.4
7818;27.6000;31.4667;351;=And;"19=And";4;5.0;1;26.6
5434;36.0000;29.9167;352;=And;"20=And";5;4.3;1;65.9
6999;34.2500;32.6667;353;=And;"21=And";5;5.3;1;23.7
7719;31.0000;32.8667;354;=And;"22=And";5;5.0;1;28.0
113726;43.7000;0.6667;355;=And;"23=And";4;3.6;2;29.1
8796;16.1000;29.6667;356;=Tri;"1=Tri";3;3.4;1;54.7
10064;20.2500;35.1667;357;=Tri;"2=Tri";3;3.0;1;41.2
10644;19.2000;36.1167;358;=Tri;"3=Tri";5;4.8;2;30.4
10670;18.2000;36.6167;359;=Tri;"4=Tri";3;4.0;1;67.8
8832;6.6000;26.2167;360;=Ari;"1=Ari";3;3.9;1;61.4
8903;7.8500;27.1167;361;=Ari;"2=Ari";3;2.6;2;69.6
10306;7.1500;30.4667;362;=Ari;"3=Ari";5;5.2;1;17.7
10732;5.6000;30.9667;363;=Ari;"4=Ari";5;5.6;1;7.4
9110;5.1000;26.0167;364;=Ari;"5=Ari";5;5.1;1;28.3
12332;5.7500;36.9167;365;=Ari;"6=Ari";6;5.4;1;43.0
13914;3.2000;40.5167;366;=Ari;"7=Ari";5;4.6;2;55.6
14838;1.6500;43.9167;367;=Ari;"8=Ari";4;4.3;1;56.4
15110;2.5000;44.9167;368;=Ari;"9=Ari";4;4.9;2;52.8
15737;1.6500;46.5167;369;=Ari;"10=Ari";4;5.1;1;49.7
13165;1.2000;38.5667;370;=Ari;"11=Ari";5;5.3;4;76.9
13327;-1.4000;37.6667;371;=Ari;"12=Ari";5;5.5;1;34.6
12828;-5.0000;34.9167;372;=Ari;"13=Ari";4;4.3;1;63.2
9884;9.5000;30.7167;373;=Ari;"14a=Ari";3;2.0;2;60.3
13209;10.0000;41.0167;374;=Ari;"15a=Ari";4;3.6;1;46.0
13061;12.0000;41.3667;375;=Ari;"16a=Ari";5;4.5;1;56.8
12719;10.9000;39.6667;376;=Ari;"17a=Ari";5;4.7;1;39.9
12489;10.6000;38.9167;377;=Ari;"18a=Ari";5;5.3;1;39.6
16369;-6.4000;46.1667;378;=Tau;"1=Tau";4;4.1;1;36.0
16322;-7.7000;45.8167;379;=Tau;"2=Tau";4;5.1;1;36.3
16083;-8.9000;44.5667;380;=Tau;"3=Tau";4;3.7;1;30.7
15900;-9.6500;43.8667;381;=Tau;"4=Tau";4;3.6;1;35.8
17771;-9.0000;49.9167;382;=Tau;"5=Tau";6;5.1;1;30.9
18724;-8.3500;53.7167;383;=Tau;"6=Tau";3;3.4;1;58.7
19860;-12.7000;56.4167;384;=Tau;"7=Tau";4;4.3;1;48.8
18907;-14.7500;53.3667;385;=Tau;"8=Tau";4;3.9;2;77.0
21589;-9.7000;61.6667;386;=Tau;"9=Tau";4;4.3;1;15.4
21402;-12.2500;61.2167;387;=Tau;"10=Tau";4;4.3;1;31.5
20205;-6.1500;58.9167;388;=Tau;"11=Tau";3;3.7;2;62.2
20455;-4.1500;59.7167;389;=Tau;"12=Tau";3;3.8;2;43.1
20894;-6.2500;61.0667;390;=Tau;"13=Tau";3;3.4;2;61.6
21421;-5.2500;62.5167;391;=Tau;"14=Tau";1;0.9;1;38.1
20889;-2.9000;61.1667;392;=Tau;"15=Tau";3;3.5;1;37.6
22565;-4.4500;66.4167;393;=Tau;"16=Tau";5;5.1;1;54.6
23835;-4.5000;69.2667;394;=Tau;"17=Tau";5;4.9;1;23.2
23871;-3.0000;69.4167;395;=Tau;"18=Tau";5;5.3;1;41.6
26451;-2.7000;77.0167;396;=Tau;"19=Tau";3;3.0;1;26.4
21881;0.5000;64.5667;397;=Tau;"20=Tau";4;4.3;1;17.8
20711;1.0000;60.8167;398;=Tau;"21=Tau";4;4.3;1;11.1
20635;0.1500;60.4167;399;=Tau;"22=Tau";4;4.2;2;25.4
19038;0.6500;56.0667;400;=Tau;"23=Tau";5;4.4;2;43.6
19990;-1.0000;59.0667;401;=Tau;"24=Tau";6;4.9;2;52.1
19513;4.8000;57.7167;402;=Tau;"25=Tau";5;5.4;1;27.9
19171;6.3000;57.3167;403;=Tau;"26=Tau";5;5.2;1;19.4
20430;3.5500;60.7167;404;=Tau;"27=Tau";5;5.4;1;36.2
20250;5.6000;60.4167;405;=Tau;"28=Tau";5;5.0;1;22.3
17499;3.7500;52.0167;406;=Tau;"29=Tau";5;3.7;2;35.4
17608;3.5000;52.2667;407;=Tau;"30=Tau";5;4.1;2;34.4
17847;3.7500;52.8167;408;=Tau;"31=Tau";5;3.6;1;19.5
17702;4.1500;52.9667;409;=Tau;"32=Tau";4;2.8;2;50.0
16852;-19.5000;44.7167;410;=Tau;"33a=Tau";4;4.3;2;71.7
23497;-1.2500;69.1667;411;=Tau;"34a=Tau";5;4.6;1;14.2
24822;-1.1500;72.7167;412;=Tau;"35a=Tau";5;5.0;1;4.8
25539;-1.5000;74.7667;413;=Tau;"36a=Tau";5;4.9;1;10.8
26777;-6.9000;77.5667;414;=Tau;"37a=Tau";5;4.8;1;4.2
27265;-8.0000;78.8167;415;=Tau;"38a=Tau";6;6.0;1;22.0
26248;1.2500;76.2667;416;=Tau;"39a=Tau";5;5.4;1;39.8
26640;2.5000;77.7167;417;=Tau;"40a=Tau";5;5.2;1;7.8
27468;1.8000;79.6167;418;=Tau;"41a=Tau";5;4.9;1;43.3
27830;3.7000;80.2167;419;=Tau;"42a=Tau";5;4.6;1;36.6
28237;2.3333;81.4667;420;=Tau;"43a=Tau";5;4.8;1;15.5
36850;9.9000;102.7167;421;=Gem;"1=Gem";2;1.6;1;20.1
37826;6.5000;105.9167;422;=Gem;"2=Gem";2;1.2;1;28.6
33018;10.7500;93.4167;423;=Gem;"3=Gem";4;3.6;1;15.5
34693;7.5000;97.9167;424;=Gem;"4=Gem";4;4.4;1;22.2
36046;5.5000;101.4667;425;=Gem;"5=Gem";4;3.8;1;23.9
36962;4.9000;103.8167;426;=Gem;"6=Gem";4;4.1;1;24.9
37740;2.7500;106.0167;427;=Gem;"7=Gem";4;3.6;1;20.2
35846;2.7500;101.0167;428;=Gem;"8=Gem";5;5.0;1;9.3
36429;5.7500;101.9167;429;=Gem;"9=Gem";5;5.0;1;12.6
32246;1.8500;92.2167;430;=Gem;"10=Gem";3;3.1;1;11.7
35550;-0.3500;100.7167;431;=Gem;"11=Gem";3;3.5;1;6.8
34088;-2.3000;96.9667;432;=Gem;"12=Gem";4;4.0;1;15.7
35350;-6.0000;100.9667;433;=Gem;"13=Gem";3;3.6;1;18.3
29655;-1.5000;85.9167;434;=Gem;"14=Gem";4;3.3;1;37.6
30343;-1.2500;87.5167;435;=Gem;"15=Gem";4;2.9;1;22.8
