# Tycho Brahe star catalogue (Kepler 1627 emended edition)
# Source: Verbunt & van Gent (2010), A&A 516, A28
# Coordinates: ecliptic, equinox AD 1601.0
# Columns: hip;lat_deg;lon_deg;mag_brahe;vmag;dlon_arcmin;dlat_arcmin;dist_arcmin;id_flag
# Stars written: 976
#
77760;60.2583;212.4750;4;4.6;5.9;-0.4;3.0;1
76041;57.2583;207.1000;4;5.0;1.3;-0.9;1.2;1
91262;61.7917;279.7167;1;0.0;0.5;-2.3;2.3;1
91919;62.4500;283.2333;5;4.7;-8.6;-0.8;4.1;1
91971;60.4333;282.4333;5;4.3;8.0;-2.7;4.8;1
92791;59.4333;286.1750;4;4.2;-2.3;-4.2;4.3;1
94481;60.7667;294.5417;5;4.4;0.0;-2.9;2.9;1
94713;59.6833;295.0333;5;4.3;-1.6;-4.5;4.5;1
92420;56.0833;283.2750;3;3.5;4.2;-3.0;3.8;1
92405;55.2667;283.0583;6;5.2;-0.2;-1.7;1.7;1
93194;55.1000;286.1833;3;3.2;12.2;-2.4;7.4;1
93279;54.5250;286.3333;6;4.9;16.2;-2.5;9.7;1
93903;58.1000;290.8667;5;5.2;-11.3;-2.2;6.4;1
95947;49.0333;295.7333;3;3.0;-0.9;-1.4;1.5;1
96683;50.7000;299.3333;5;4.7;4.2;-2.4;3.6;1
98110;54.3167;307.5500;4;3.9;-7.8;-0.3;4.6;1
100453;57.1583;319.4167;3;2.2;-4.5;-0.4;2.5;1
102098;59.9417;329.8917;2;1.2;-2.8;-1.0;1.8;1
97165;64.4667;310.8833;3;2.9;-8.0;-1.3;3.7;1
96441;69.7000;313.3500;4;4.5;-12.3;-4.4;6.2;1
95853;71.5167;312.6583;4;3.8;-9.8;-2.7;4.1;1
94779;73.8417;309.6083;4;3.8;-10.0;-0.8;2.9;1
102488;49.4333;322.1583;3;2.5;-0.4;-0.2;0.3;1
102589;51.6917;324.3000;4;4.5;-3.9;-3.3;4.1;1
104732;43.7333;327.7167;3;3.2;-11.7;-0.7;8.5;1
103413;54.9833;330.5333;4;3.9;6.5;-3.0;4.8;1
104060;56.6000;335.3583;4;3.7;-3.2;-0.2;1.8;1
99675;63.6167;322.8333;4;3.8;-14.6;0.6;6.5;1
99848;64.2917;324.5750;4;4.0;-15.3;1.1;6.7;1
104887;50.5500;333.0583;4;3.7;-1.3;-0.8;1.2;1
105102;51.5167;334.8917;4;4.2;-3.0;-0.6;1.9;1
107310;38.6500;334.5500;3;4.5;21.6;53.9;56.4;1
92862;66.2500;289.9500;4;4.1;-14.5;-2.1;6.2;1
93408;68.8667;294.8250;4;5.0;-19.9;-2.0;7.5;1
107350;25.1833;328.7333;6;6.0;-22.8;89.5;91.8;1
106062;35.5833;328.3667;6;5.8;-42.9;-41.0;53.9;2
101067;53.2000;318.2500;6;5.9;33.0;-5.2;20.4;1
100044;55.5000;316.2500;0;4.8;1.4;-1.1;1.4;1
2920;44.6750;29.5833;4;3.7;-2.9;0.8;2.2;1
3179;46.5917;32.2917;3;2.2;-2.4;0.1;1.6;1
3821;47.0833;34.6333;4;3.5;-0.5;0.5;0.6;1
4427;48.7667;38.4583;3;2.2;-3.6;0.7;2.4;1
6686;46.3667;42.3500;3;2.7;0.5;1.1;1.1;1
8886;47.4833;49.2250;3;3.3;-0.2;1.4;1.4;1
11569;48.9000;56.6500;4;4.5;2.1;1.7;2.2;1
5542;43.1083;36.2417;4;4.3;-0.4;-0.6;0.7;1
5336;43.4667;35.2667;5;5.2;2.6;-1.1;2.2;1
118243;49.4083;24.6500;6;4.9;-2.4;-1.6;2.2;1
2599;52.2333;37.1000;4;4.2;-1.4;0.6;1.0;1
746;51.2417;29.5917;3;2.3;-2.7;-0.4;1.7;1
117863;51.1333;25.5667;6;4.5;-1.8;0.5;1.3;1
117301;52.6500;25.5333;6;4.9;-0.4;-0.2;0.3;1
6692;52.8000;49.4667;6;4.7;-3.2;1.2;2.3;1
5926;56.2167;52.3500;6;5.9;-0.5;-6.0;6.0;1
7078;54.4500;52.3833;6;5.8;-7.1;-14.1;14.7;1
7965;52.1417;51.9667;6;5.6;-37.4;-18.3;29.4;1
7294;44.9583;42.9583;6;4.7;-4.2;0.7;3.0;1
6242;45.0750;40.0000;6;4.9;-1.5;-0.9;1.4;1
4422;47.5250;36.8667;6;4.6;12.7;0.0;8.6;1
2505;45.6333;29.1667;6;4.7;-1.9;0.0;1.4;1
3801;41.2500;29.5333;6;4.9;-3.5;-0.1;2.6;1
3300;41.4250;27.9500;6;4.8;-0.4;-0.6;0.6;1
3504;39.2583;26.9333;6;4.5;-0.3;1.4;1.4;1
3414;38.1500;25.9083;6;4.9;-1.1;8.9;9.0;1
12273;53.2667;61.7667;6;5.2;16.3;-1.1;9.8;1
14862;53.5333;66.2000;6;4.8;37.1;-2.8;22.3;1
30060;35.8000;87.3167;6;4.4;12.9;-13.8;17.3;1
33449;34.8167;92.5500;6;4.3;61.0;35.0;60.9;3
32609;30.3667;93.0000;6;5.5;-33.5;131.6;134.7;3
32864;44.1667;90.7500;6;5.1;26.2;12.8;22.7;1
33104;45.5333;90.9500;6;5.1;21.4;11.1;18.6;1
29997;45.5333;86.2500;6;4.8;33.9;20.7;31.4;1
33694;54.7167;90.1667;6;4.6;-5.0;-56.0;56.1;1
32439;56.2500;87.7500;6;5.4;25.2;2.5;14.2;1
39538;56.9167;94.2167;6;5.4;14.0;10.4;12.9;1
36547;59.3000;89.9667;6;4.9;12.9;5.0;8.3;1
47193;60.1167;97.9000;6;4.3;59.0;31.4;42.9;1
51502;62.0667;100.2333;6;5.2;-33.5;47.8;50.2;4
51384;62.7667;99.6167;6;5.5;-185.8;62.3;104.2;4
59504;63.2833;110.9667;6;5.1;176.3;55.1;95.5;1
11060;39.0083;48.5167;6;5.2;-2.4;-3.4;3.8;1
13268;37.4750;53.1583;4;3.8;-0.5;-2.3;2.3;1
14328;34.5000;54.4417;3;2.9;1.6;-1.0;1.6;1
12777;31.5750;49.0750;4;4.1;0.2;1.2;1.2;1
13531;34.4333;51.8333;5;3.9;31.6;-6.5;26.9;1
14632;30.6083;53.5500;4;4.1;0.9;1.8;2.0;1
15863;30.0833;56.2833;2;1.8;14.3;-0.1;12.4;1
16335;27.9833;57.0750;5;4.4;-1.5;0.8;1.6;1
16826;27.9167;58.2250;5;4.3;-2.4;0.6;2.2;1
17358;27.2333;59.2500;3;3.0;-0.5;1.5;1.6;1
14668;26.0667;52.1000;4;3.8;1.2;-0.5;1.2;1
14576;22.3667;50.6167;3;2.1;-0.5;1.0;1.1;1
14817;20.9000;50.5167;5;4.6;17.3;1.4;16.2;1
14354;20.5500;49.3000;4;3.3;2.5;-0.3;2.3;1
13879;21.5833;48.3333;4;4.7;0.7;6.5;6.5;1
20070;28.3750;66.2250;5;4.6;1.4;1.9;2.2;1
19167;28.8333;64.1917;4;4.2;0.1;0.4;0.4;1
19343;26.1833;63.9167;5;4.0;1.1;0.3;1.0;1
19812;26.6500;65.2333;4;4.1;0.0;0.5;0.5;1
20354;24.5833;66.0000;6;4.8;3.2;-0.7;3.0;1
21476;18.9333;68.0167;5;4.2;0.0;1.4;1.4;1
17529;22.1000;58.1833;4;3.8;4.8;0.3;4.5;1
18532;19.0667;60.1333;3;2.9;-1.1;0.1;1.1;1
18614;14.8917;59.3917;5;4.0;1.0;0.2;1.0;1
17448;12.1333;55.5500;4;3.8;1.7;0.3;1.7;1
18246;11.2917;57.6000;3;2.8;-2.5;-0.3;2.4;1
13665;42.4333;56.7500;5;5.6;-1.3;-2.7;2.9;1
18453;29.5167;62.5333;5;5.3;-1.9;1.7;2.3;1
13254;20.8833;46.2667;4;4.2;-0.4;2.1;2.1;1
16292;45.1667;62.3000;6;5.1;-170.8;-599.7;613.7;4
16281;48.1167;64.2000;6;4.6;-208.2;-580.6;599.9;4
16228;49.4500;64.6833;6;4.2;-219.4;-598.0;618.0;4
15890;53.6167;66.4167;6;5.1;-238.2;-574.9;595.7;4
27949;32.2500;83.6333;6;5.0;-3.7;-2.0;3.7;1
28358;30.8333;84.2333;4;3.7;6.2;-1.5;5.6;1
24608;22.8417;76.2667;1;0.1;1.1;1.1;1.5;1
28360;21.4583;85.8667;2;1.9;-91.2;-0.1;84.9;1
28380;13.7333;84.4667;4;2.7;-5.9;-0.2;5.7;1
23416;20.8667;73.1500;4;3.0;7.5;1.6;7.2;1
23453;18.1417;73.0917;4;3.7;-1.5;0.7;1.6;1
23767;18.1917;73.8250;4;3.2;3.1;2.9;4.1;1
23015;10.3667;71.0750;4;2.7;-0.2;2.3;2.3;1
28343;27.4500;84.4250;5;5.9;-6.6;-61.0;61.3;1
25048;18.5750;76.8750;6;5.2;3.5;-0.6;3.4;1
24813;16.9833;76.1000;5;4.7;7.5;-0.6;7.2;1
24340;15.3583;74.9667;5;4.8;2.2;1.4;2.5;1
25292;14.0667;77.1500;6;5.0;3.0;3.0;4.2;1
23179;15.0500;72.0000;5;4.9;3.9;0.6;3.8;1
27483;15.7083;82.2083;5;4.5;2.8;0.3;2.7;1
27673;15.7167;82.4000;5;4.0;18.9;-2.8;18.4;2
27639;13.8167;82.5833;6;4.7;0.5;1.0;1.1;1
24879;11.2500;76.6583;5;5.1;-39.3;-29.5;48.5;1
25984;8.8500;78.5667;5;4.7;1.7;-0.7;1.8;1
22453;14.8500;70.0750;5;4.9;2.9;0.6;2.9;1
22678;14.0333;70.5167;5;4.8;3.9;-0.9;3.8;1
29696;6.0667;87.7833;4;4.3;1.1;0.9;1.4;1
27830;4.1000;82.9667;4;4.6;-1.1;1.8;2.1;1
28237;2.4333;83.9667;4;4.8;0.8;1.8;2.0;1
26640;2.4667;79.8750;4;5.2;-0.3;1.3;1.3;1
27468;1.1000;81.9167;4;4.9;0.9;0.0;0.9;1
86032;35.9500;256.8333;3;2.1;1.6;-2.3;2.7;1
86742;28.0167;259.7500;3;2.8;1.4;-2.5;2.8;1
87108;26.1833;261.0833;3;3.8;-1.0;-0.7;1.1;1
82673;32.5917;244.9917;4;4.4;4.9;-2.0;4.6;1
83000;31.9333;246.2667;4;3.2;1.0;-2.5;2.6;1
80883;23.6583;240.0500;4;3.8;-1.8;-2.7;3.2;1
79593;17.3167;236.7417;3;2.7;-0.8;-0.7;1.0;1
79882;16.5083;237.9500;3;3.2;-1.4;-1.6;2.1;1
86284;15.3167;259.5500;4;4.6;-48.0;-3.0;46.4;1
88048;13.7833;264.2250;4;3.3;-2.3;-3.2;3.9;1
88404;15.3333;265.2417;5;4.8;-1.2;-1.2;1.7;1
84012;7.3000;252.4000;3;2.4;-0.2;-3.7;3.7;1
81377;11.5000;243.6500;3;2.5;0.4;-3.7;3.7;1
84893;2.2000;254.3833;3;4.4;55.4;-6.5;55.7;1
88771;33.0417;266.5167;4;3.7;5.2;-0.6;4.4;1
77257;26.6083;226.8000;4;4.4;2.8;-0.7;2.6;1
84880;10.3500;254.8167;4;4.3;-5.6;-2.1;5.9;1
86263;8.0667;258.9500;3;3.5;1.9;-4.4;4.7;1
86565;10.5833;259.8000;4;4.2;2.0;-2.1;2.8;1
80628;13.3167;240.9500;5;4.6;2.3;-3.2;3.9;1
88149;27.9167;264.5000;4;4.8;0.4;-3.3;3.3;1
88192;26.3833;264.6333;4;3.9;-1.2;2.4;2.7;1
88290;24.8333;264.8833;4;4.4;1.8;-2.2;2.7;1
88601;26.1667;265.9667;4;4.0;-1.9;-4.5;4.9;1
85207;1.5333;255.7000;4;5.8;31.1;16.1;35.0;3
84970;0.3333;256.3833;4;3.3;-33.4;-127.3;131.6;3
85340;0.4833;257.2000;5;4.2;-26.2;-82.7;86.7;3
85755;0.9667;257.6000;5;4.8;18.2;-95.8;97.5;3
76852;38.2000;221.5833;5;4.5;0.3;-2.9;2.9;1
77661;39.1083;224.4083;3;4.7;-28.7;56.1;60.3;2
78072;35.4167;227.1083;3;3.8;0.0;-2.9;2.9;1
77233;34.4583;224.3583;3;3.7;-0.6;-5.2;5.2;1
77450;37.4750;225.1667;4;4.1;-58.8;-18.7;50.3;1
78554;42.6167;226.5333;4;4.8;0.3;-7.4;7.4;1
76276;28.9667;222.7750;3;3.8;-0.6;-2.6;2.6;1
77070;25.5833;226.5000;2;2.6;-1.3;-2.4;2.7;1
77622;24.0917;228.7750;3;3.7;-2.3;-3.0;3.7;1
77516;16.4417;230.4417;4;3.5;-4.1;-9.2;10.0;1
88175;19.9500;264.5750;3;4.6;-1.9;-8.6;8.8;1
89962;20.6250;270.2083;3;3.2;-1.6;-3.8;4.1;1
92946;26.9833;280.1667;3;4.6;1.4;-3.6;3.8;1
98337;39.2167;301.5333;4;3.5;-2.4;0.7;2.0;1
97365;38.9750;297.9167;5;3.7;-4.3;-1.3;3.6;1
97496;39.5167;298.5167;6;5.0;-1.2;-3.7;3.8;1
96757;38.8833;295.5083;4;4.4;1.0;-2.8;2.9;1
96837;38.3000;295.6500;4;4.4;0.6;-2.1;2.2;1
97679;42.7167;300.2167;4;4.9;2.0;-0.8;1.7;1
97886;44.0333;301.6000;4;4.6;-6.1;-3.5;5.6;1
95771;46.0500;293.9500;4;4.4;2.5;-8.4;8.6;2
98823;27.1417;299.4750;6;5.5;0.3;-4.9;4.9;1
98036;26.8250;296.8833;3;3.7;-0.3;-4.2;4.3;1
97649;29.3583;296.1500;2;0.8;-0.1;-2.5;2.5;1
97675;30.9083;295.5500;6;5.1;66.0;-2.6;56.7;3
97278;31.3000;295.4333;3;2.7;-2.8;-0.8;2.5;1
97473;31.9833;296.1417;5;5.8;14.0;21.2;24.3;1
96229;28.7750;291.2750;4;4.4;-2.5;-3.2;3.9;1
96665;26.5833;292.2333;5;5.2;1.1;-3.8;3.9;1
93747;36.2750;284.2583;3;3.0;-0.8;-1.9;2.0;1
93244;37.6667;282.7333;3;4.0;-1.0;-2.6;2.7;1
92043;43.5417;279.2000;4;4.2;2.0;-3.2;3.5;1
92161;41.0833;279.2917;4;4.3;0.3;-1.8;1.8;1
99473;18.8000;299.3583;3;3.2;-0.4;-1.9;1.9;1
96468;20.2417;290.2917;3;4.4;-0.8;-11.0;11.1;1
96483;14.4667;289.2833;3;4.9;0.5;-4.5;4.5;1
95501;24.9333;288.0167;3;3.4;1.9;-4.5;4.8;1
97804;21.6333;294.8333;3;3.9;2.6;-4.0;4.6;1
93805;17.6833;281.7667;3;3.4;0.4;-3.6;3.6;1
93429;16.9500;280.4833;4;4.0;0.2;-3.1;3.1;1
101421;29.1333;308.5333;3;4.0;-1.2;-1.3;1.7;1
101800;28.8750;309.8000;6;5.4;-1.8;-1.0;1.8;1
101916;27.5667;309.7000;6;5.1;-2.3;-1.9;2.8;1
101769;31.9583;310.9333;3;3.6;-8.9;0.1;7.6;1
101958;33.0833;311.8417;3;3.8;-0.6;-1.7;1.7;1
102281;32.0000;313.6083;3;4.4;-61.9;-1.2;52.5;2
102532;32.7833;313.8667;3;4.3;-1.7;-1.8;2.3;1
101589;32.1417;310.2833;5;4.6;-4.5;2.8;4.7;1
101483;30.6917;309.3000;6;5.4;-1.7;1.0;1.8;1
101882;30.6833;310.7000;6;5.7;-1.6;-2.4;2.7;1
104987;20.2083;317.5417;4;3.9;1.2;-2.8;3.0;1
105570;21.1000;319.9083;4;5.2;-1.9;-2.6;3.1;1
104521;25.2667;317.9000;4;4.7;-1.2;-2.3;2.5;1
104858;24.8667;318.9083;4;4.5;-0.3;-4.4;4.4;1
107315;22.1250;326.3667;3;2.4;-2.1;-0.2;1.9;1
109427;16.4167;331.2583;4;3.5;-0.7;-3.0;3.1;1
