# Converted from ptolema.dat — Ptolemaios (equinox -128)
# Source: Verbunt & van Gent (2012) A&A 544 A31
# id_flag: 1=secure(nearest) 2=secure(not nearest) 3=probable 4=possible 5=unident 6=repeat
# Skipped: HIP=0 (unidentified) and id_flag=5 (not identified)
# hip;lat_deg;lon_deg;seq;cst;name;mag_ptolema;vmag_hip;id_flag;dist_arcmin
77516;16.5000;208.8333;273;=Ser;"11=Ser";4;3.5;1;11.7
80628;13.2500;218.1667;274;=Ser;"12=Ser";5;4.6;1;88.1
84880;10.5000;233.6667;275;=Ser;"13=Ser";4;4.3;1;18.7
86263;8.5000;237.0000;276;=Ser;"14=Ser";4;3.5;1;41.5
86565;10.8333;237.8333;277;=Ser;"15=Ser";4;4.2;1;40.6
88175;20.0000;243.6667;278;=Ser;"16=Ser";4;4.6;1;31.0
89962;21.1667;248.6667;279;=Ser;"17=Ser";4;3.2;1;26.8
92946;27.0000;258.3333;280;=Ser;"18=Ser";4;4.6;1;29.1
98337;39.3333;280.1667;281;=Sge;"1=Sge";4;3.5;1;5.3
97496;39.1667;276.6667;282;=Sge;"2=Sge";6;5.0;2;38.9
97365;39.5000;275.8333;283;=Sge;"3=Sge";5;3.7;1;41.7
96757;39.0000;274.6667;284;=Sge;"4=Sge";5;4.4;1;18.7
96837;38.6667;273.3333;285;=Sge;"5=Sge";5;4.4;2;51.7
98823;26.8333;277.1667;286;=Aql;"1=Aql";4;5.5;1;60.3
98036;27.1667;274.8333;287;=Aql;"2=Aql";3;3.7;1;42.5
97649;29.1667;273.8333;288;=Aql;"3=Aql";2;0.8;1;39.2
97675;30.0000;274.6667;289;=Aql;"4=Aql";3;5.1;2;75.6
97278;31.5000;273.1667;290;=Aql;"5=Aql";3;2.7;1;48.1
98103;31.5000;276.0000;291;=Aql;"6=Aql";5;5.3;2;58.4
96229;28.6667;269.6667;292;=Aql;"7=Aql";5;4.4;1;23.3
96665;26.6667;271.1667;293;=Aql;"8=Aql";5;5.2;1;11.6
93747;36.6667;262.1667;294;=Aql;"9=Aql";3;3.0;1;39.9
97804;21.6667;273.6667;295;=Aql;"10a=Aql";3;3.9;1;8.1
99473;19.1667;278.8333;296;=Aql;"11a=Aql";3;3.2;2;46.9
95501;25.0000;266.0000;297;=Aql;"12a=Aql";4;3.4;1;33.2
96468;20.0000;268.5000;298;=Aql;"13a=Aql";3;4.4;1;31.4
96483;15.5000;269.6667;299;=Aql;"14a=Aql";5;4.9;2;111.9
93805;18.1667;261.1667;300;=Aql;"15a=Aql";3;3.4;1;43.3
101421;29.1667;287.6667;301;=Del;"1=Del";3;4.0;1;22.7
101800;29.0000;288.6667;302;=Del;"2=Del";4;5.4;1;9.1
101916;27.7500;288.6667;303;=Del;"3=Del";4;5.1;1;23.0
101769;32.0000;288.5000;304;=Del;"4=Del";3;3.6;2;51.2
101958;33.8333;290.1667;305;=Del;"5=Del";3;3.8;2;42.0
102281;32.0000;291.3333;306;=Del;"6=Del";3;4.4;1;9.2
102532;33.1667;293.1667;307;=Del;"7=Del";3;4.3;1;27.7
101483;30.2500;287.5000;308;=Del;"8=Del";6;5.4;1;45.0
101589;31.8333;287.5000;309;=Del;"9=Del";6;4.6;2;79.7
101882;31.5000;289.0000;310;=Del;"10=Del";6;5.7;2;47.1
104987;20.5000;296.3333;311;=Equ;"1=Equ";7;3.9;1;9.3
105570;20.6667;298.0000;312;=Equ;"2=Equ";7;5.2;1;45.4
104521;25.5000;296.3333;313;=Equ;"3=Equ";7;4.7;1;16.2
104858;25.0000;297.6667;314;=Equ;"4=Equ";7;4.5;1;4.5
677;26.0000;347.8333;315;=Peg;"1=Peg";2;2.1;1;24.2
1067;12.5000;342.1667;316;=Peg;"2=Peg";2;2.8;1;9.0
113881;31.0000;332.1667;317;=Peg;"3=Peg";2;2.4;1;17.5
113963;19.6667;326.6667;318;=Peg;"4=Peg";2;2.5;1;11.5
115250;25.5000;334.5000;319;=Peg;"5=Peg";4;4.6;1;13.6
115623;25.0000;335.0000;320;=Peg;"6=Peg";4;4.4;1;11.7
112158;35.0000;329.0000;321;=Peg;"7=Peg";3;2.9;1;8.8
112051;34.5000;328.5000;322;=Peg;"8=Peg";5;4.8;1;15.0
112440;29.0000;326.1667;323;=Peg;"9=Peg";4;4.0;1;10.4
112748;29.5000;327.0000;324;=Peg;"10=Peg";4;3.5;1;29.2
112029;18.0000;318.8333;325;=Peg;"11=Peg";3;3.4;1;29.3
112447;19.0000;320.5000;326;=Peg;"12=Peg";4;4.2;1;37.5
113186;15.0000;321.3333;327;=Peg;"13=Peg";5;4.9;1;33.5
112935;16.0000;320.5000;328;=Peg;"14=Peg";5;5.2;1;40.4
109427;16.5000;309.3333;329;=Peg;"15=Peg";3;3.5;1;28.6
109068;16.0000;308.0000;330;=Peg;"16=Peg";4;4.9;1;26.3
107315;22.5000;305.3333;331;=Peg;"17=Peg";3;2.4;1;21.9
109410;41.1667;323.3333;332;=Peg;"18=Peg";4;4.3;1;21.2
109176;34.2500;317.3333;333;=Peg;"19=Peg";4;3.8;1;11.3
107354;36.8333;312.3333;334;=Peg;"20=Peg";4;4.1;1;8.9
3092;24.5000;355.3333;335;=And;"1=And";3;3.3;1;22.3
2912;27.0000;356.3333;336;=And;"2=And";4;4.3;1;23.6
3031;23.0000;354.3333;337;=And;"3=And";4;4.3;1;0.3
1473;32.0000;353.6667;338;=And;"4=And";4;4.5;1;29.9
1366;33.5000;354.6667;339;=And;"5=And";4;4.6;1;15.6
1686;32.3333;355.0000;340;=And;"6=And";5;5.2;1;7.0
