 396   0   61  2 =UMa 41  5 26 09.  20 44.  B 3   52638  1  1 1  5.4  -50.0   18.9   50.3
 397   0   62  2 =UMa 42  5 25 19.  24 58.  B 4   53229  1  1 1  3.8   -3.3   -2.0    3.6
 398   0   63  2 =UMa 43  6 12 16.  40 30.  B 5   61317  1  1 1  4.2   -3.8    3.0    4.2
 399   0   64  2 =UMa 44  4 21 29.  58 08.  B 6   51808  1  0 4  4.9  -53.3   25.7   38.0
 400   0   65  2 =UMa 45  4 23 55.  47 14.  B 6   47401  3  0 4  6.0  -33.3  119.9  122.0
 401   0   66  2 =UMa 46  4 19 49.  47 30.  B 6   44857  1  0 4  5.2  -12.2   -1.8    8.4
 402   0   67  2 =UMa 47  5 23 17.  46 50.  B 6          5  0 4  0.0    0.0    0.0    0.0
 403   0   68  2 =UMa 48  6 03 58.  47 55.  B 6   60485  3  0 4  4.8 -105.5   11.0   71.5
 404   0   69  2 =UMa 49  6 06 00.  48 40.  B 6          5  0 4  0.0    0.0    0.0    0.0
 405   0   70  2 =UMa 50  6 06 30.  49 42.  B 6          5  0 4  0.0    0.0    0.0    0.0
 406   0   71  2 =UMa 51  6 06 19.  49 42.  B 6          5  0 4  0.0    0.0    0.0    0.0
 407   0   72  2 =UMa 52  6 19 05.  49 00.  B 6   65550  3  0 4  5.9   40.1   37.5   45.7
 408   0   73  2 =UMa 53  6 18 01.  49 27.  B 6          5  0 4  0.0    0.0    0.0    0.0
 409   0   74  2 =UMa 54  6 25 42.  48 11.  B 6   67194  3  0 4  5.9  164.2  -41.2  117.6
 410   0   75  2 =UMa 55  6 16 02.  52 25.  B 6   64906  4  0 4  5.1  -83.5  -38.0   63.8
 411   0   76  2 =UMa 56  5 01 41.  35 40.  B 6   47006  1  1 1  4.5    9.4  -20.4   21.8
 412 343   77  3 =Dra  1  8 18 56.5 76 17.  B 4.  83608  1  1 1  4.9   11.0   -0.6    2.7
 413 344   78  3 =Dra  2  9 04 14.5 78 15.5 B 4.  85819  1  1 1  4.9   22.7   -4.2    6.3
 414 345   79  3 =Dra  3  9 06 19.5 75 21.  B 3   85670  1  1 1  2.8    1.9   -1.3    1.4
 415 346   80  3 =Dra  4  9 19 03.  80 21.5 B 4   87585  1  1 1  3.7    4.3   -2.0    2.1
 416 347   81  3 =Dra  5  9 22 24.  75 03.5 B 3:  87833  1  1 1  2.2    0.6   -4.9    4.9
 417 348   82  3 =Dra  6 10 17 04.  81 53.  B 5:  90156  1  1 1  5.0  -17.9   -4.0    4.7
 418 349   83  3 =Dra  7 10 24 31.  77 57.  B 5:  91755  1  1 1  5.0   -4.9   -2.4    2.6
 419 350   84  3 =Dra  8 10 20 33.5 79 51.5 B 5:  90905  1  1 1  4.8  -18.2   -3.4    4.7
 420 351   85  3 =Dra  9 11 09 29.  80 53.5 B 4.  92512  1  1 1  4.6    1.8   -3.2    3.2
 421 352   86  3 =Dra 10 12 28 33.  81 51.  B 4   95081  1  1 1  4.6  -24.9   -1.4    3.8
 422 353   87  3 =Dra 11  1 12 26.5 82 49.  B 3.  94376  1  1 1  3.1  -32.5    3.7    5.5
 423 354   88  3 =Dra 12  1 15 21.  78 09.5 B 4   98702  1  1 1  4.5  -21.8   -1.0    4.6
 424 355   89  3 =Dra 13  1 27 47.  79 25.  B 3.  97433  1  1 1  3.8  -27.0    3.1    5.8
 425 356   90  3 =Dra 14  2 15 18.  83 05.  B 4   92782  1  1 1  4.8  -19.0    6.1    6.5
 426 357   91  3 =Dra 15  2 19 40.5 80 38.  B 4.  94648  1  1 1  4.4  -10.7    0.8    1.9
 427 358   92  3 =Dra 16  1 26 44.  80 54.  B 4:  96100  1  1 1  4.7  -28.1    1.2    4.6
 428 359   93  3 =Dra 17  4 06 34.5 83 04.5 B 4   86614  2  1 1  4.6   86.2   62.4   63.1
 429 360   94  3 =Dra 18  4  1 28.0 83 28.5 B 4   87728  2  3 4  5.4 -191.6   60.7   63.9
 430 361   95  3 =Dra 19  3 05 31.  84 48.  B 4   89908  1  1 1  4.2    7.6    1.8    1.9
 431 362   96  3 =Dra 20  5 29 44.5 81 04.5 B 3.  80650  1  1 1  4.9  -14.8   -2.9    3.7
 432 363   97  3 =Dra 21  5 06 26.  86 53.  B 4   86201  1  1 1  4.8    3.4    0.3    0.3
 433 364   98  3 =Dra 22  6 28 21.  83 18.  B 5.  82860  1  1 1  4.9   31.3    0.2    3.7
 434 365   99  3 =Dra 23  6 28 22.  81 41.  B 5.  81660  1  1 1  4.8    6.8   -2.7    2.9
 435 366  100  3 =Dra 24  6 26 51.5 84 46.  B 3   83895  1  1 1  3.2   25.0    0.2    2.3
 436 367  101  3 =Dra 25  7  7 55.0 78 32.0 B 3   80331  2  1 1  2.7   47.4   -4.7   10.5
 437 368  102  3 =Dra 26  7 12 28.5 74 11.5 B 3.  78527  1  1 1  4.0  -81.7   15.9   27.2
 438 369  103  3 =Dra 27  6 29 22.  71 04.  B 3   75458  1  1 1  3.3   -7.8    2.1    3.3
 439 370  104  3 =Dra 28  5 29 17.  65 18.  B 5   67627  1  1 1  4.6   -2.1    3.0    3.1
 440 371  105  3 =Dra 29  6 02 10.5 66 36.  B 2.  68756  1  1 1  3.7  -23.3  -15.0   17.7
 441 372  106  3 =Dra 30  5 10 26.  61 33.  B 3   61281  1  1 1  3.8   11.3   11.0   12.3
 442 373  107  3 =Dra 31  5 04 37.5 57 07.  B 3   56211  1  1 1  3.8    5.2    5.5    6.2
 443 374  108  3 =Dra 32  1 01 04.  77 31.5 B 5   98583  1  1 1  5.2  -14.6   -1.6    3.6
 444 375  109  4 =Cep  1  2 00 13.  71 07.  B 3. 106032  1  1 1  3.2   -7.5    0.2    2.5
 445 376  110  4 =Cep  2  1 07 13.  68 54.  B 3  105199  1  1 1  2.5    5.1    0.6    1.9
 446 377  111  4 =Cep  3  1 27 53.5 62 35.  B 4: 112724  1  1 1  3.5   -6.4    0.2    2.9
 447 378  112  4 =Cep  4  1 08 29.  61 03.  B 4  109492  1  1 1  3.4   -0.1    4.9    4.9
 448   0  113  4 =Cep  5  1 07 53.5 59 59.  B 4  109857  2  1 1  4.2  -24.4   -1.4   12.3
 449   0  114  4 =Cep  6  1 13 39.  58 46.  B 4  110991  1  1 1  4.1  -91.8   45.4   65.4
 450   0  115  4 =Cep  7 12 29 21.  71 49.  B 4  102422  1  1 1  3.4  -20.7   -5.2    8.3
 451   0  116  4 =Cep  8 12 29 54.  74 00.5 B 4  101093  1  1 1  4.2  -26.4   -4.7    8.7
 452   0  117  4 =Cep  9  1 18 46.  65 42.  B 5  108917  1  1 1  4.3   -3.9    2.3    2.8
 453   0  118  4 =Cep 10  2 27 33.  75 27.  B 4   99255  1  1 1  4.4    1.8   -0.6    0.8
 454   0  119  4 =Cep 11  2 24 23.  64 28.  B 3  116727  1  1 1  3.2    9.8    8.7    9.7
 455 379  120  5 =Boo  1  6 24 09.5 58 53.  B 4.  69483  1  1 1  4.5    7.9    0.9    4.2
 456 380  121  5 =Boo  2  6 25 33.  58 51.  B 4.  69713  1  1 1  4.8   -4.1   -0.1    2.1
 457 381  122  5 =Boo  3  6 26 59.5 60 05.  B 4.  70497  1  1 1  4.0   -3.5    4.9    5.2
 458 382  123  5 =Boo  4  7 01 18.  54 40.  B 4   69732  1  1 1  4.2    4.1   -0.7    2.5
 459 383  124  5 =Boo  5  7 13 05.5 49 33.5 B 3   71075  1  1 1  3.0  -61.5    0.2   39.9
 460 384  125  5 =Boo  6  7 18 43.5 54 15.5 B 3.  73555  1  1 1  3.5   -6.2   -4.7    5.9
 461 385  126  5 =Boo  7  7 27 29.5 49 01.  B 3.  74666  1  1 1  3.5    1.7   -0.7    1.3
 462 386  127  5 =Boo  8  7 22 29.5 40 40.  B 3   72105  1  1 1  2.3    0.9   -0.8    1.1
 463 387  128  5 =Boo  9  7 18 16.  42 11.  B 4   71284  1  1 1  4.5    0.3   -2.2    2.2
 464 388  129  5 =Boo 10  7 17 17.5 42 35.5 B 4:  71053  1  1 1  3.6   -5.8   -7.4    8.5
 465 389  130  5 =Boo 11  7 27 26.5 27 57.  B 3   71795  1  1 1  3.8   -0.1   -2.4    2.4
 466 390  131  5 =Boo 12  7 13 42.  28 09.  B 3   67927  1  1 1  2.7    1.9   -0.8    1.8
 467 391  132  5 =Boo 13  7 12 25.  26 33.  B 4.  67275  1  1 1  4.5   -1.2    0.0    1.1
 468 392  133  5 =Boo 14  7 13 37.  25 14.  B 4:  67459  1  1 1  4.1    0.2   -0.9    0.9
 469 393  134  5 =Boo 15  7 18 39.  31 02.5 B 1   69673  1  1 1 -0.1    1.1   -1.8    2.0
 470 394  135  5 =Boo 16  7 26 13.5 30 27.5 B 4   71762  1  1 1  4.5    2.3   -3.8    4.3
 471 395  136  5 =Boo 17  7 27 11.  31 22.  B 4   72125  1  1 1  4.6    2.4   -4.3    4.8
 472 396  137  5 =Boo 18  7 27 52.  33 52.  B 4   72659  1  1 1  4.5    3.8   -3.9    5.0
 473   0  138  5 =Boo 19  7 28 11.  40 14.5 B 5   73568  1  1 1  4.8    1.2   -1.9    2.1
 474   0  139  5 =Boo 20  7 29 40.  40 31.5 B 5   73996  1  1 1  4.9    0.6   -0.8    0.9
 475   0  140  5 =Boo 21  7 27 53.  42 16.  B 5   73745  1  1 1  4.5    2.6   -3.4    3.9
 476   0  141  5 =Boo 22  7 29 16.  41 55.  B 6   74087  1  1 1  5.7    3.7    0.7    2.8
 477   0  142  5 =Boo 23  7 29 34.5 45 06.  B 5   74596  1  1 1  5.3    2.2   -0.9    1.8
 478   0  143  5 =Boo 24  8 01 26.5 46 52.  B 5   75312  1  1 1  5.0    3.5   -1.4    2.8
 479   0  144  5 =Boo 25  7 27 32.  53 27.5 B 4   75411  1  1 1  4.3    3.1   -0.4    1.9
 480   0  145  5 =Boo 26  8 02 35.  54 00.  B 4   76669  1  1 1  4.6    4.3   -1.1    2.7
 481   0  146  5 =Boo 27  7 11 49.  60 40.  B 6   73695  1  3 1  4.8   23.4   -5.1   12.5
 482   0  147  5 =Boo 28  7 12 33.  60 57.  B 6   73841  1  3 1  5.6  -31.4   10.4   18.4
 497 397  148  6 =CrB  1  8 06 38.5 44 23.  B 2:  76267  1  1 1  2.2    1.7   -1.0    1.6
 498 398  149  6 =CrB  2  8 03 37.  46 08.  B 4   75695  1  1 1  3.7   -4.6   -2.7    4.2
 499 399  150  6 =CrB  3  8 03 10.5 48 25.  B 5   76127  1  1 1  4.1   40.0   10.4   28.4
 500 400  151  6 =CrB  4  8 08 02.  50 21.  B 6   77048  1  1 1  5.6  -86.7    9.3   56.0
 501 401  152  6 =CrB  5  8 09 14.5 44 33.  B 4   76952  1  1 1  3.8    2.9   -0.3    2.1
 502 402  153  6 =CrB  6  8 11 25.  44 52.  B 4   77512  1  1 1  4.6    1.1   -3.1    3.2
 503 403  154  6 =CrB  7  8 13 32.  46 09.5 B 4   78159  1  1 1  4.1   -0.5   -2.3    2.4
 504 404  155  6 =CrB  8  8 13 02.  48 24.  B 6.  78493  1  1 1  5.0   22.8   48.2   50.5
 505 405  156  7 =Her  1  9 10 31.  37 23.  B 3:  84345  1  1 1  2.8    3.7   -3.0    4.1
 506 406  157  7 =Her  2  8 25 27.5 42 48.  B 3   80816  1  1 1  2.8    3.5   -2.8    3.8
 507 407  158  7 =Her  3  8 23 36.  40 05.5 B 3.  80170  1  1 1  3.7    2.0   -2.5    2.9
 508 408  159  7 =Her  4  8 20 06.5 37 19.  B 4:  79043  1  1 1  5.0    1.5   -3.3    3.5
 509 409  160  7 =Her  5  9 09 10.  47 47.  B 3   84379  1  1 1  3.1    1.0   -1.7    1.9
 510 410  161  7 =Her  6  9 14 22.  49 23.  B 4.  85693  1  1 1  4.4   -2.5   -2.4    2.9
 511 411  162  7 =Her  7  9 19 36.  51 16.5 B 4:  86974  1  1 1  3.4    6.1   -2.1    4.3
 512 412  163  7 =Her  8  9 27 19.  52 19.  B 4.  88794  1  1 1  3.8  -10.9   -4.9    8.3
 513 413  164  7 =Her  9  9 23 57.  53 46.  B 4.  87998  1  1 1  4.4   -3.6   -5.2    5.6
 514 414  165  7 =Her 10  9 23 38.  52 47.  B 4.  87933  1  1 1  3.7   -1.1   -2.6    2.7
 515 415  166  7 =Her 11  8 26 02.  53 10.5 B 3   81693  1  1 1  2.8   -4.4   -2.6    3.7
 516 416  167  7 =Her 12  9 02 45.5 53 21.  B 3   83207  1  1 1  3.9   -0.7   -3.2    3.3
 517 417  168  7 =Her 13  9 06 21.5 59 38.  B 4   84380  1  1 1  3.2    7.5   -1.9    4.2
 518 418  169  7 =Her 14  9 07 19.  60 11.5 B 4   84606  1  1 1  4.6    3.6   -2.5    3.0
 519 419  170  7 =Her 15  9 09 47.5 60 13.5 B 4   85112  1  1 1  4.2    0.3   -2.9    2.9
 520 420  171  7 =Her 16  9 22 56.  60 47.  B 3   87808  1  1 1  3.9   -1.3   -2.8    2.9
 521 421  172  7 =Her 17  9 14 17.  69 22.  B 3   86414  1  1 1  3.8    1.5   -3.0    3.0
 522 422  173  7 =Her 18  9 07 05.5 71 20.  B 6.  85379  1  1 1  5.8   -4.7   -5.1    5.3
 523 423  174  7 =Her 19  9 11 07.  71 13.5 B 6.  86182  1  1 1  5.3   51.0   35.5   39.0
 524 424  175  7 =Her 20  9 18 00.  71 05.  B 9.         5  3 3  0.0    0.0    0.0    0.0
 525 425  176  7 =Her 21  8 23 08.5 60 22.5 B 3   81833  1  1 1  3.5    1.4   -1.8    2.0
 526 426  177  7 =Her 22  8 17 39.5 63 14.  B 4   81126  1  1 1  4.2   -2.1   -2.0    2.2
 527 427  178  7 =Her 23  8 08 43.5 65 55.  B 4   79992  1  1 1  3.9    1.3   -3.1    3.1
 528 428  179  7 =Her 24  8 05 57.  63 51.  B 4   79101  1  1 1  4.2    3.0   -2.2    2.6
 529 429  180  7 =Her 25  8 02 43.  64 23.  B 4   78592  1  1 1  4.7   -0.1   -1.7    1.7
 530 430  181  7 =Her 26  8 16 32.  62 29.  B 5   80704  1  1 1  4.8  -36.8   -8.1   18.9
 531 431  182  7 =Her 27  8 02 28.5 60 15.5 B 4:  77760  1  1 1  4.6    5.9   -0.4    3.0
 532 432  183  7 =Her 28  7 27 06.  57 15.5 B 4   76041  1  3 3  5.0    1.3   -0.9    1.2
 533 433  184  8 =Lyr  1 10 09 43.  61 47.5 B 1   91262  1  1 1  0.0    0.5   -2.3    2.3
 534 434  185  8 =Lyr  2 10 13 14.  62 27.  B 5:  91919  1  1 1  4.7   -8.6   -0.8    4.1
 535 435  186  8 =Lyr  3 10 12 26.  60 26.  B 5:  91971  1  1 1  4.3    8.0   -2.7    4.8
 536 436  187  8 =Lyr  4 10 16 10.5 59 26.  B 4.  92791  1  1 1  4.2   -2.3   -4.2    4.3
 537 437  188  8 =Lyr  5 10 24 32.5 60 46.  B 5:  94481  1  1 1  4.4    0.0   -2.9    2.9
 538 438  189  8 =Lyr  6 10 25 02.  59 41.  B 5   94713  1  1 1  4.3   -1.6   -4.5    4.5
 539 439  190  8 =Lyr  7 10 13 16.5 56 05.  B 3   92420  1  1 1  3.5    4.2   -3.0    3.8
 540 440  191  8 =Lyr  8 10 13 03.5 55 16.  B 6   92405  1  3 1  5.2   -0.2   -1.7    1.7
 541 441  192  8 =Lyr  9 10 16 11.  55 06.  B 3   93194  1  1 1  3.2   12.2   -2.4    7.4
 542 442  193  8 =Lyr 10 10 16 20.  54 31.5 B 6   93279  1  1 1  4.9   16.2   -2.5    9.7
 543 443  194  8 =Lyr 11 10 20 52.  58 06.  B 5   93903  1  1 1  5.2  -11.3   -2.2    6.4
 544 444  195  9 =Cyg  1 10 25 44.  49  2.  B 3   95947  1  1 1  3.0   -0.9   -1.4    1.5
 545 445  196  9 =Cyg  2 10 29 20.  50 42.  B 5   96683  1  1 1  4.7    4.2   -2.4    3.6
 546 446  197  9 =Cyg  3 11 07 33.  54 19.  B 4.  98110  1  1 1  3.9   -7.8   -0.3    4.6
 547 447  198  9 =Cyg  4 11 19 25.  57 09.5 B 3: 100453  1  1 1  2.2   -4.5   -0.4    2.5
 548 448  199  9 =Cyg  5 11 29 53.5 59 56.5 B 2: 102098  1  1 1  1.2   -2.8   -1.0    1.8
 549 449  200  9 =Cyg  6 11 10 53.  64 28.  B 3   97165  1  1 1  2.9   -8.0   -1.3    3.7
 550 450  201  9 =Cyg  7 11 13 21.  69 42.  B 4.  96441  1  1 1  4.5  -12.3   -4.4    6.2
 551 451  202  9 =Cyg  8 11 12 39.5 71 31.  B 4.  95853  1  1 1  3.8   -9.8   -2.7    4.1
 552 452  203  9 =Cyg  9 11 09 36.5 73 50.5 B 4.  94779  1  1 1  3.8  -10.0   -0.8    2.9
 553 453  204  9 =Cyg 10 11 22 09.5 49 26.  B 3. 102488  1  1 1  2.5   -0.4   -0.2    0.3
 554 454  205  9 =Cyg 11 11 24 18.  51 41.5 B 4  102589  1  1 1  4.5   -3.9   -3.3    4.1
 555 455  206  9 =Cyg 12 11 27 43.  43 44.  B 3. 104732  1  1 1  3.2  -11.7   -0.7    8.5
 556 456  207  9 =Cyg 13 12 00 32.  54 59.  B 4  103413  1  1 1  3.9    6.5   -3.0    4.8
 557 457  208  9 =Cyg 14 12 05 21.5 56 36.  B 4: 104060  1  1 1  3.7   -3.2   -0.2    1.8
 558 458  209  9 =Cyg 15 11 22 50.  63 37.  B 4   99675  1  3 3  3.8  -14.6    0.6    6.5
 559 459  210  9 =Cyg 16 11 24 34.5 64 17.5 B 4   99848  1  1 1  4.0  -15.3    1.1    6.7
