"hip";"lat";"lon";"hr";"hd";"name";"almagest_number"
71284;41.67;175.67;5447;128167;"28Sig Boo";104
71053;42.17;175;5429;127665;"25Rho Boo";105
71795;28;185.33;5477;129246;"30Zet Boo";106
67927;28;171.33;5235;121370;"8Eta Boo";107
67275;26.5;170.5;5185;120136;"4Tau Boo";108
67459;25;171.33;5200;120477;"5Ups Boo";109
76267;44.5;194.67;5793;139006;"5Alp CrB";111
75695;46.5;191.67;5747;137909;"3Bet CrB";112
76127;48;191.83;5778;138749;"4The CrB";113
77048;50.5;193.67;5855;140716;"9Pi CrB";114
76952;44.75;197.17;5849;140436;"8Gam CrB";115
77512;44.83;199.17;5889;141714;"10Del CrB";116
78159;46.17;201.33;5947;143107;"13Eps CrB";117
78493;49.33;201.67;5971;143807;"14Iot CrB";118
84345;37.5;227.67;6406;155803;"64Alp1Her";119
80816;43;213.67;6148;148856;"27Bet Her";120
80170;40.17;211.67;6095;147547;"20Gam Her";121
79043;37.17;208;6008;145001;"7Kap Her";122
84379;48;226.67;6410;156164;"65Del Her";123
85693;49.5;232;6526;158899;"76Lam Her";124
86974;52;237.67;6623;159605;"86Mu Her";125
88794;52.83;245.5;6779;166014;"103Omi Her";126
87998;54;241.67;6707;164136;"94Nu Her";127
87933;53;241.5;6703;163993;"92Xi Her";128
81693;53.17;213.83;6212;150680;"40Zet Her";129
83207;53.5;220.17;6324;153808;"58Eps Her";130
83313;56.17;220;6332;154029;"59 Her";131
83838;58.5;221.17;6377;155103;;132
84380;59.83;224;6418;156283;"67Pi Her";133
84606;60.33;225.33;6436;156729;"69 Her";134
85112;61.25;226.33;6484;157778;"75Rho Her";135
87808;61;240.83;6695;163770;"91The Her";136
86414;69.33;232.17;6588;160762;"85Iot Her";137
84835;70.25;225.33;6464;157325;"74 Her";138
85379;71.25;226.83;6509;158414;"77 Her";139
86182;72.25;229.67;6574;45995;"82 Her";140
81833;60.25;210.67;6220;150997;"44Eta Her";141
81126;63;205.33;6168;149630;"35Sig Her";142
79992;65.5;195.67;6092;147394;"22Tau Her";143
79101;63.67;193.67;6023;145389;"11Phi Her";144
78592;64.25;190.17;5982;144206;"6Ups Her";145
77760;60;191.17;5914;142373;"1Chi Her";146
75973;57.5;185;5763;138481;"52Nu 1Boo";147
80463;38.17;212.67;6117;148112;"24Ome Her";148
91262;62;257.33;7001;172167;"3Alp Lyr";149
91919;62.67;260.33;7051;173582;"4Eps1Lyr";150
91971;61;260.33;7056;173648;"6Zet1Lyr";151
92791;60;263.67;7139;45995;"12Del2Lyr";152
94481;61.33;272;7298;180163;"20Eta Lyr";153
94713;60.33;271.67;7314;180809;"21The Lyr";154
92420;56.17;261;7106;174638;"10Bet Lyr";155
92405;55;260.83;7102;174602;"9Nu 2Lyr";156
93194;55.33;264.17;7178;175815;"14Gam Lyr";157
93279;54.75;264.17;7192;176165;"15Lam Lyr";158
95947;49;274.5;7417;183912;"6Bet1Cyg";159
96683;50.5;279;7478;185734;"12Phi Cyg";160
98110;54.5;286.33;7615;188947;"21Eta Cyg";161
100453;57.33;298.5;7796;194093;"37Gam Cyg";162
