  77  4 =Cep  3    1 07 20  71 10 B  4  106032 1 1  3.2  116.9  -10.4   39.3
  78  4 =Cep  4   12 16 40  69 00 B  3  105199 1 1  2.5  -17.1   -5.4    8.2
  79  4 =Cep  5   12 09 20  72 00 B  4  102422 1 1  3.4 -125.7  -27.7   48.1
  80  4 =Cep  6   12 10 00  74 00 B  4  101093 1 1  4.2  -66.1   -4.0   18.7
  81  4 =Cep  7   12 28 30  65 30 B  5  108917 1 1  4.3  -53.5   12.8   25.5
  82  4 =Cep  8    1 07 30  62 30 B  4b 112724 1 1  3.5  -32.2   -1.8   15.0
  83  4 =Cep  9   12 16 20  60 15 B  5  109857 1 1  4.2   -9.3  -11.4   12.3
  84  4 =Cep 10   12 17 20  61 15 B  4  109492 1 1  3.4   12.0  -10.1   11.6
  85  4 =Cep 11   12 19 00  61 20 B  5  109556 1 1  5.1   35.0   29.2   33.6
  86  4 =Cep 12a  12 13 40  64 00 B  5  107259 1 1  4.2  -17.9    8.9   11.9
  87  4 =Cep 13a  12 21 20  59 30 B  4  110991 1 1  4.1  -11.7   -2.4    6.4
  88  5 =Boo  1    6 02 20  58 40 B  5   69483 1 1  4.5   11.0   12.7   13.9
  89  5 =Boo  2    6 04 10  58 20 B  5   69713 1 1  4.8  -14.9   31.6   32.6
  90  5 =Boo  3    6 05 20  60 10 B  5   70497 1 1  4.0  -13.3   13.4   14.9
  91  5 =Boo  4    6 09 40  54 40 B  5   69732 1 1  4.2   14.5    0.1    8.4
  92  5 =Boo  5    6 19 40  49 00 B  3   71075 1 1  3.0   55.8   35.5   50.8
  93  5 =Boo  6    6 26 40  53 50 B  4b  73555 1 1  3.5   20.2   27.6   30.0
  94  5 =Boo  7    7 05 40  48 40 B  4b  74666 1 1  3.5   11.8   29.5   30.5
  95  5 =Boo  8    7 05 40  53 15 B  4   75411 1 1  4.3   27.0   19.0   24.9
  96  5 =Boo  9    7 05 00  57 30 B  4   76041 1 2  5.0   28.8   -7.6   17.3 *
  97  5 =Boo 10    7 07 40  46 30 B  4b  75312 2 1  5.0  129.8   32.0   94.5
  98  5 =Boo 11    7 08 30  45 30 B  5   74596 1 3  5.3  -22.2  -17.2   23.2 *
  99  5 =Boo 12    7 08 10  41 20 B  5   73996 2 1  4.9   -8.4  -39.1   39.6
 100  5 =Boo 13    7 06 40  41 40 B  5   74087 2 2  5.7   68.6   23.7   56.3 *
 101  5 =Boo 14    7 07 00  42 30 B  5   73745 1 2  4.5  -29.2   -8.0   23.0 *
 102  5 =Boo 15    7 07 20  40 20 B  5   73568 1 1  4.8  -38.6    1.5   29.5
 103  5 =Boo 16    7 00 00  40 15 B  3   72105 2 1  2.3   61.4   30.5   55.8
 104  5 =Boo 17    6 25 40  41 40 B  4   71284 2 1  4.5   59.8   28.4   52.8
 105  5 =Boo 18    6 25 00  42 10 B  4b  71053 1 1  3.6   45.1   21.3   39.5
 106  5 =Boo 19    7 05 20  28 00 B  3   71795 2 1  3.8   37.9    1.7   33.5
 107  5 =Boo 20    6 21 20  28 00 B  3   67927 2 1  2.7   53.5   22.7   52.3
 108  5 =Boo 21    6 20 30  26 30 B  4   67275 1 1  4.5   41.5   11.1   38.8
 109  5 =Boo 22    6 21 20  25 00 B  4   67459 1 1  4.1   53.8   17.4   51.7
 110  5 =Boo 23a   6 27 00  31 30 B  1   69673 1 1 -0.1   19.5   41.4   44.6
 111  6 =CrB  1    7 14 40  44 30 B  2b  76267 1 1  2.2   23.7    2.3   17.1
 112  6 =CrB  2    7 11 40  46 30 B  4b  75695 1 1  3.7   28.9  -16.7   26.0
 113  6 =CrB  3    7 11 50  48 00 B  5   76127 1 1  4.1   28.3   44.4   48.2
 114  6 =CrB  4    7 13 40  50 30 B  6   77048 1 1  5.6   83.2    9.9   53.8
 115  6 =CrB  5    7 17 10  44 45 B  4   76952 1 1  3.8   42.0   -3.1   30.0
 116  6 =CrB  6    7 19 10  44 50 B  4   77512 1 1  4.6   48.3   11.3   36.0
 117  6 =CrB  7    7 21 20  46 10 B  4   78159 1 1  4.1   43.7    9.7   31.8
 118  6 =CrB  8    7 21 40  49 20 B  4   78493 1 1  5.0   15.1    3.0   10.2
 119  7 =Her  1    8 17 40  37 30 B  3   84345 1 1  2.8   91.8    2.5   72.9
 120  7 =Her  2    8 03 40  43 00 B  3   80816 1 1  2.8   27.7   -1.8   20.4
 121  7 =Her  3    8 01 40  40 10 B  3   80170 1 1  3.7   33.5    3.8   25.9
 122  7 =Her  4    7 28 00  37 10 B  4   79043 1 1  5.0   42.6   17.4   38.1
 123  7 =Her  5    8 16 40  48 00 B  3   84379 1 1  3.1   66.4    3.1   44.5
 124  7 =Her  6    8 22 00  49 30 B  4b  85693 1 1  4.4   55.1    3.7   36.0
 125  7 =Her  7    8 27 40  52 00 B  4b  86974 1 1  3.4   52.1   -9.9   33.6
 126  7 =Her  8    9 05 30  52 50 B  4b  88794 1 1  3.8   18.2  -22.3   24.9
 127  7 =Her  9    9 01 40  54 00 B  4b  87998 1 1  4.4   52.4   -5.5   31.3
 128  7 =Her 10    9 01 30  53 00 B  4   87933 1 1  3.7   41.9   -1.3   25.3
 129  7 =Her 11    8 03 50  53 10 B  3   81693 1 1  2.8   63.4    3.2   38.1
 130  7 =Her 12    8 10 10  53 30 B  5   83207 1 1  3.9   69.6   -0.0   41.4
 131  7 =Her 13    8 10 00  56 30 B  5   83313 1 1  5.3   55.9  -20.4   37.1
 132  7 =Her 14    8 11 10  58 30 B  3   83838 1 3  5.4   85.3   14.2   46.6 *
 133  7 =Her 15    8 14 00  59 50 B  4   84380 1 1  3.2   62.4   -0.8   31.4
 134  7 =Her 16    8 15 20  60 20 B  4   84606 1 1  4.6   37.6    0.5   18.6
 135  7 =Her 17    8 16 20  61 15 B  4b  85112 2 1  4.2  123.1  -51.3   78.9
 136  7 =Her 18    9 00 50  61 00 B  4   87808 1 1  3.9   43.0   -2.2   21.0
 137  7 =Her 19    8 22 10  69 20 B  4   86414 1 1  3.8   41.5   12.5   19.2
 138  7 =Her 20    8 15 20  70 15 B  6   84835 1 1  5.5 -110.7  -59.5   70.7
 139  7 =Her 21    8 16 50  71 15 B  6   85379 1 1  5.8  -82.8   13.1   29.5
 140  7 =Her 22    8 19 40  72 15 B  6   86182 1 1  5.3   45.5  -14.5   20.1
 141  7 =Her 23    8 00 40  60 15 B  4b  81833 1 1  3.5   53.0   19.4   32.6
 142  7 =Her 24    7 25 20  63 00 B  4   81126 1 1  4.2   41.9   21.4   28.5
 143  7 =Her 25    7 15 40  65 30 B  4b  79992 1 1  3.9   83.7   30.5   46.0
 144  7 =Her 26    7 13 40  63 40 B  4   79101 1 1  4.2   40.6   17.1   24.8
 145  7 =Her 27    7 10 10  64 15 B  4   78592 1 1  4.7   44.2   15.4   24.6
 146  7 =Her 28    7 11 10  60 00 B  4   77760 1 1  4.6  -22.8    1.5   11.5
 147  7 =Her 29    7 05 00  57 30 B  4   76041 6 2  5.0   28.8   -7.6   17.3
 148  7 =Her 30a   8 02 40  38 10 B  5   80463 2 1  4.6  112.0 -163.2  186.2
 149  8 =Lyr  1    9 17 20  62 00 B  1   91262 1 1  0.0   54.8   -8.8   27.2
 150  8 =Lyr  2    9 20 20  62 40 B  4b  91919 1 1  4.7   91.7   -2.3   42.2 *
 151  8 =Lyr  3    9 20 20  61 00 B  4b  91971 1 1  4.3   58.7  -24.1   37.5 *
 152  8 =Lyr  4    9 23 40  60 00 B  4   92791 2 3  4.2   76.4  -25.4   46.1 *
 153  8 =Lyr  5   10 02 00  61 20 B  4   94481 1 1  4.4   84.2  -24.8   47.6
 154  8 =Lyr  6   10 01 40  60 20 B  4   94713 2 1  4.3  131.6  -31.5   72.8
 155  8 =Lyr  7    9 21 00  56 10 B  3   92420 1 1  3.5   66.5    5.2   37.4
 156  8 =Lyr  8    9 20 50  55 00 B  4f  92405 1 1  5.2   59.6   27.7   43.9
 157  8 =Lyr  9    9 24 10  55 20 B  3   93194 2 1  3.3   60.0   -3.6   34.3
 158  8 =Lyr 10    9 24 10  54 45 B  4f  93279 1 1  4.9   72.3   -3.4   41.9
 159  9 =Cyg  1   10 04 30  49 00 B  3   95947 1 1  3.0    1.1   12.7   12.7 *
 160  9 =Cyg  2   10 09 00  50 30 B  5   96683 1 1  4.7  -47.3   20.0   36.1
 161  9 =Cyg  3   10 16 20  54 30 B  4b  98110 1 1  3.9   -0.3   -0.6    0.7
 162  9 =Cyg  4   10 28 30  57 20 B  3  100453 1 1  2.2  -12.7   -2.8    7.4
 163  9 =Cyg  5   11 09 10  60 00 B  2  102098 1 1  1.3  -18.4    1.4    9.3
 164  9 =Cyg  6   10 19 20  64 40 B  3   97165 1 1  2.9   21.2   -4.4   10.1
 165  9 =Cyg  7   10 22 30  69 40 B  4   96441 1 1  4.5  -23.9    0.0    8.3
 166  9 =Cyg  8   10 21 10  71 30 B  4b  95853 1 1  3.8   22.3    4.7    8.5
 167  9 =Cyg  9   10 16 40  74 00 B  4b  94779 1 1  3.8  107.7   -2.7   29.9
 168  9 =Cyg 10   11 00 50  49 30 B  3  102488 1 1  2.5   -8.3   -1.2    5.5
 169  9 =Cyg 11   11 03 50  52 10 B  4b 102589 1 1  4.5  -41.9  -24.3   35.4
 170  9 =Cyg 12   11 06 40  44 00 B  3  104732 1 1  3.2  -16.6   -8.4   14.6
 171  9 =Cyg 13   11 10 00  55 10 B  4b 103413 1 1  3.9  -23.9   -7.6   15.6
 172  9 =Cyg 14   11 14 30  57 00 B  4b 104060 1 1  3.7  -12.8  -19.4   20.6
 173  9 =Cyg 15   11 01 10  64 00 B  4   99675 2 1  3.8   28.1  -15.0   19.4
 174  9 =Cyg 16   11 02 40  64 30 B  4   99848 1 1  4.0   43.2   -4.3   19.1
 175  9 =Cyg 17   11 12 10  64 45 B  5  101138 2 1  4.9 -152.8  -35.6   74.9
 176  9 =Cyg 18a  11 10 40  49 40 B  4b 104887 1 1  3.7   60.6   49.7   63.1
 177  9 =Cyg 19a  11 13 50  51 40 B  4b 105102 1 1  4.2   -3.6   -4.7    5.2
 178 10 =Cas  1    1 07 50  45 20 B  4b   2920 2 1  3.7   32.5  -45.9   51.4
 179 10 =Cas  2    1 10 50  46 45 B  3    3179 1 1  2.2   15.3  -16.1   19.2
 180 10 =Cas  3    1 13 00  47 50 B  4    3821 1 1  3.5    4.9  -22.1   22.3
 181 10 =Cas  4    1 16 40  49 00 B  3b   4427 2 1  2.2   34.1  -22.2   31.6
