"hip";"lat";"lon"
16511;-9.575;17.55
16537;-27.7833333333333;12.75
16826;27.9166666666667;28.225
16852;-18.4333333333333;16.425
17358;27.2333333333333;29.25
17378;-28.775;15.1166666666667
17448;12.1333333333333;25.55
17499;4.18333333333333;23.225
17529;22.1;28.1833333333333
17563;-13.5;19.95
17593;-31.15;15.375
17593;-31.15;15.3833333333333
17608;4.03333333333333;24.05
17702;4;24.4
17771;-8.68333333333333;21.7666666666667
17847;3.91666666666667;24.7833333333333
18246;11.2916666666667;27.6
18255;-22.75;20.1166666666667
18453;29.5166666666667;2.53333333333333
18532;19.0666666666667;0.133333333333333
18543;-33.225;18.3
18614;14.8916666666667;29.3916666666667
18724;-8.05;25.0166666666667
18907;-14.5083333333333;24.3166666666667
19038;1.2;27.85
19167;28.8333333333333;4.19166666666667
19171;6.55;29.375
19205;7.91666666666667;29.7583333333333
19343;26.1833333333333;3.91666666666667
19513;5.26666666666667;0.0666666666666667
19587;-27.5333333333333;23.8833333333333
19777;-30.4166666666667;23.8166666666667
19812;26.65;5.23333333333333
19849;-28.1583333333333;24.9666666666667
19860;-12.225;27.9833333333333
19990;-0.775;0.475
20070;28.375;6.225
20205;-5.775;0.2
20250;5.75833333333333;2.425
20354;24.5833333333333;6
20430;3.95;2.56666666666667
20455;-4.03333333333333;1.275
20507;-25.05;27.7666666666667
20522;-12.0333333333333;0.166666666666667
20635;0.583333333333333;2.63333333333333
20711;1.06666666666667;2.9
20732;-6.94166666666667;1.7
20889;-2.60833333333333;2.88333333333333
20894;-5.88333333333333;2.36666666666667
20901;-8.68333333333333;1.975
21273;-7.075;3.46666666666667
21402;-11.8;3.18333333333333
21421;-5.51666666666667;4.20833333333333
21444;-25.1916666666667;1.24166666666667
21476;18.9333333333333;8.01666666666667
21589;-9.53333333333333;4.15
21683;-6.29166666666667;4.91666666666667
21881;0.666666666666667;6.58333333333333
22109;-25.5666666666667;3.75833333333333
22449;-15.45;6.38333333333333
22453;14.85;10.075
22509;-13.0583333333333;6.81666666666667
22549;-16.8333333333333;6.55
22565;-3.66666666666667;8.2
22626;40.2166666666667;17.75
22667;-8.28333333333333;7.88333333333333
22678;14.0333333333333;10.5166666666667
22701;-27.8583333333333;5.49166666666667
22783;42.9333333333333;18.05
22797;-20.0333333333333;6.96666666666667
22833;-11.1;8.16666666666667
22845;-12.425;8.00833333333333
22957;-9.11666666666667;8.8
23015;10.3666666666667;11.075
23123;-20.925;7.95
23179;15.05;12
23364;-29.8666666666667;7.65
23416;20.8666666666667;13.15
23453;18.1416666666667;13.0916666666667
23497;-1.825;11.0666666666667
23522;37.3333333333333;17.4666666666667
23685;-45;6.425
23734;35.8333333333333;17.2833333333333
23734;35.8333333333333;17.2833333333333
23767;18.1916666666667;13.825
23871;-2.50833333333333;12.225
